About Your Analysis,,,,,Date,Station,Lines,TotalPassengers,Month,DayOfWeek,FirstLetter,YellowLine,Downtown
"• All of your answers should be typed or pasted into the grey boxes. 

• Questions with grey answer boxes expect a specific answer. If you input the correct answer, the question number box  will change from blue to green.

• Questions with yellow answer boxes are free response questions. There will be no change in the question number boxes (in blue), regardless of answer.

• For hints for each question, hover your mouse over the blue hint box to get helpful information!",,,,,1/1/2021,RM,YO,328,1,6,Y,Yes,No
,,,,,1/2/2021,RM,YO,395,1,7,Y,Yes,No
,,,,,1/3/2021,RM,YO,366,1,1,Y,Yes,No
,,,,,1/4/2021,RM,YO,856,1,2,Y,Yes,No
,,,,,1/5/2021,RM,YO,950,1,3,Y,Yes,No
,,,,,1/6/2021,RM,YO,934,1,4,Y,Yes,No
,,,,,1/7/2021,RM,YO,964,1,5,Y,Yes,No
,,,,,1/8/2021,RM,YO,965,1,6,Y,Yes,No
,,,,,1/9/2021,RM,YO,532,1,7,Y,Yes,No
,,,,,1/10/2021,RM,YO,367,1,1,Y,Yes,No
,,,,,1/11/2021,RM,YO,921,1,2,Y,Yes,No
,,,,,1/12/2021,RM,YO,966,1,3,Y,Yes,No
"Now, it's time to analyze!",,,,,1/13/2021,RM,YO,964,1,4,Y,Yes,No
1,"In the Month column, extract the month from each date.",,Hint!,,1/14/2021,RM,YO,948,1,5,Y,Yes,No
2,"In the DayOfWeek column, extract the day of the week from each date. Hint: It will make it easier later in the Miestone if you have Monday = 1 , Sunday = 7.",,Hint!,,1/15/2021,RM,YO,946,1,6,Y,Yes,No
,,,,,1/16/2021,RM,YO,2,1,7,Y,Yes,No
"In the YellowLine column, we want to capture whether or not a station is on the Yellow Line. To create this feature, we'll do it in two steps.",,,,,1/17/2021,RM,YO,0,1,1,Y,Yes,No
,,,,,1/18/2021,RM,YO,2,1,2,Y,Yes,No
3,"In the FirstLetter column, extract the first letter from the Lines column. e.g. ""YO"" should output ""Y"".",,Hint!,,1/19/2021,RM,YO,804,1,3,Y,Yes,No
,,,,,1/20/2021,RM,YO,909,1,4,Y,Yes,No
4,"Then, in the YellowLine column, extract whether or not a station is on the Yellow Line: ""Yes"" if it is on the Yellow Line, and ""No"" if it is not. Hint: Based on the Data Dictionary, a station is on the Yellow line if the first letter of the Lines string is a Y.",,Hint!,,1/21/2021,RM,YO,982,1,5,Y,Yes,No
,,,,,1/22/2021,RM,YO,945,1,6,Y,Yes,No
,,,,,1/23/2021,RM,YO,523,1,7,Y,Yes,No
Use the engineered columns to answer the following questions.,,,,,1/24/2021,RM,YO,310,1,1,Y,Yes,No
5,What is the total number of passengers who rode the BART in all of 2021?,24583309,Hint!,,1/25/2021,RM,YO,988,1,2,Y,Yes,No
6,How many rows of data are there?,18250,Hint!,,1/26/2021,RM,YO,909,1,3,Y,Yes,No
7,How many total passengers rode during a weekday?,17870708,Hint!,,1/27/2021,RM,YO,888,1,4,Y,Yes,No
8,How many passengers rode on the Yellow Line?,19425399,Hint!,,1/28/2021,RM,YO,866,1,5,Y,Yes,No
9,What proportion of all passengers ended on a station on the Yellow Line?,0.7902,Hint!,,1/29/2021,RM,YO,1000,1,6,Y,Yes,No
10,"LevelUp (Optional): In the Downtown column, extract whether or not a station is one of the four stations in downtown San Francisco: EM, MT, PL, CC: ""Yes"" if it is one of those stations, ""No"" if it is not.",,Hint!,,1/30/2021,RM,YO,1,1,7,Y,Yes,No
,,,,,1/31/2021,RM,YO,1,1,1,Y,Yes,No
,,,,,2/1/2021,RM,YO,975,2,2,Y,Yes,No
,,,,,2/2/2021,RM,YO,978,2,3,Y,Yes,No
,,,,,2/3/2021,RM,YO,1057,2,4,Y,Yes,No
,,,,,2/4/2021,RM,YO,1038,2,5,Y,Yes,No
,,,,,2/5/2021,RM,YO,1029,2,6,Y,Yes,No
,,,,,2/6/2021,RM,YO,581,2,7,Y,Yes,No
,,,,,2/7/2021,RM,YO,400,2,1,Y,Yes,No
,,,,,2/8/2021,RM,YO,1033,2,2,Y,Yes,No
,,,,,2/9/2021,RM,YO,1033,2,3,Y,Yes,No
,,,,,2/10/2021,RM,YO,1107,2,4,Y,Yes,No
,,,,,2/11/2021,RM,YO,997,2,5,Y,Yes,No
,,,,,2/12/2021,RM,YO,1044,2,6,Y,Yes,No
,,,,,2/13/2021,RM,YO,0,2,7,Y,Yes,No
,,,,,2/14/2021,RM,YO,0,2,1,Y,Yes,No
,,,,,2/15/2021,RM,YO,0,2,2,Y,Yes,No
,,,,,2/16/2021,RM,YO,1002,2,3,Y,Yes,No
,,,,,2/17/2021,RM,YO,1080,2,4,Y,Yes,No
,,,,,2/18/2021,RM,YO,1036,2,5,Y,Yes,No
,,,,,2/19/2021,RM,YO,1014,2,6,Y,Yes,No
,,,,,2/20/2021,RM,YO,554,2,7,Y,Yes,No
,,,,,2/21/2021,RM,YO,451,2,1,Y,Yes,No
,,,,,2/22/2021,RM,YO,1049,2,2,Y,Yes,No
,,,,,2/23/2021,RM,YO,1027,2,3,Y,Yes,No
,,,,,2/24/2021,RM,YO,1043,2,4,Y,Yes,No
,,,,,2/25/2021,RM,YO,1070,2,5,Y,Yes,No
,,,,,2/26/2021,RM,YO,1066,2,6,Y,Yes,No
,,,,,2/27/2021,RM,YO,0,2,7,Y,Yes,No
,,,,,2/28/2021,RM,YO,0,2,1,Y,Yes,No
,,,,,3/1/2021,RM,YO,1049,3,2,Y,Yes,No
,,,,,3/2/2021,RM,YO,1093,3,3,Y,Yes,No
,,,,,3/3/2021,RM,YO,1097,3,4,Y,Yes,No
,,,,,3/4/2021,RM,YO,1108,3,5,Y,Yes,No
,,,,,3/5/2021,RM,YO,1125,3,6,Y,Yes,No
,,,,,3/6/2021,RM,YO,599,3,7,Y,Yes,No
,,,,,3/7/2021,RM,YO,454,3,1,Y,Yes,No
,,,,,3/8/2021,RM,YO,1030,3,2,Y,Yes,No
,,,,,3/9/2021,RM,YO,1005,3,3,Y,Yes,No
,,,,,3/10/2021,RM,YO,998,3,4,Y,Yes,No
,,,,,3/11/2021,RM,YO,1103,3,5,Y,Yes,No
,,,,,3/12/2021,RM,YO,1069,3,6,Y,Yes,No
,,,,,3/13/2021,RM,YO,0,3,7,Y,Yes,No
,,,,,3/14/2021,RM,YO,0,3,1,Y,Yes,No
,,,,,3/15/2021,RM,YO,1061,3,2,Y,Yes,No
,,,,,3/16/2021,RM,YO,1102,3,3,Y,Yes,No
,,,,,3/17/2021,RM,YO,1088,3,4,Y,Yes,No
,,,,,3/18/2021,RM,YO,998,3,5,Y,Yes,No
,,,,,3/19/2021,RM,YO,1089,3,6,Y,Yes,No
,,,,,3/20/2021,RM,YO,558,3,7,Y,Yes,No
,,,,,3/21/2021,RM,YO,456,3,1,Y,Yes,No
,,,,,3/22/2021,RM,YO,1072,3,2,Y,Yes,No
,,,,,3/23/2021,RM,YO,1092,3,3,Y,Yes,No
,,,,,3/24/2021,RM,YO,1151,3,4,Y,Yes,No
,,,,,3/25/2021,RM,YO,1106,3,5,Y,Yes,No
,,,,,3/26/2021,RM,YO,1145,3,6,Y,Yes,No
,,,,,3/27/2021,RM,YO,625,3,7,Y,Yes,No
,,,,,3/28/2021,RM,YO,496,3,1,Y,Yes,No
,,,,,3/29/2021,RM,YO,1074,3,2,Y,Yes,No
,,,,,3/30/2021,RM,YO,1148,3,3,Y,Yes,No
,,,,,3/31/2021,RM,YO,1182,3,4,Y,Yes,No
,,,,,4/1/2021,RM,YO,1181,4,5,Y,Yes,No
,,,,,4/2/2021,RM,YO,1192,4,6,Y,Yes,No
,,,,,4/3/2021,RM,YO,657,4,7,Y,Yes,No
,,,,,4/4/2021,RM,YO,507,4,1,Y,Yes,No
,,,,,4/5/2021,RM,YO,1154,4,2,Y,Yes,No
,,,,,4/6/2021,RM,YO,1218,4,3,Y,Yes,No
,,,,,4/7/2021,RM,YO,1201,4,4,Y,Yes,No
,,,,,4/8/2021,RM,YO,1198,4,5,Y,Yes,No
,,,,,4/9/2021,RM,YO,1287,4,6,Y,Yes,No
,,,,,4/10/2021,RM,YO,713,4,7,Y,Yes,No
,,,,,4/11/2021,RM,YO,519,4,1,Y,Yes,No
,,,,,4/12/2021,RM,YO,1197,4,2,Y,Yes,No
,,,,,4/13/2021,RM,YO,1249,4,3,Y,Yes,No
,,,,,4/14/2021,RM,YO,1195,4,4,Y,Yes,No
,,,,,4/15/2021,RM,YO,1222,4,5,Y,Yes,No
,,,,,4/16/2021,RM,YO,1201,4,6,Y,Yes,No
,,,,,4/17/2021,RM,YO,687,4,7,Y,Yes,No
,,,,,4/18/2021,RM,YO,534,4,1,Y,Yes,No
,,,,,4/19/2021,RM,YO,1172,4,2,Y,Yes,No
,,,,,4/20/2021,RM,YO,1282,4,3,Y,Yes,No
,,,,,4/21/2021,RM,YO,1207,4,4,Y,Yes,No
,,,,,4/22/2021,RM,YO,1214,4,5,Y,Yes,No
,,,,,4/23/2021,RM,YO,1179,4,6,Y,Yes,No
,,,,,4/24/2021,RM,YO,654,4,7,Y,Yes,No
,,,,,4/25/2021,RM,YO,435,4,1,Y,Yes,No
,,,,,4/26/2021,RM,YO,1172,4,2,Y,Yes,No
,,,,,4/27/2021,RM,YO,1213,4,3,Y,Yes,No
,,,,,4/28/2021,RM,YO,1180,4,4,Y,Yes,No
,,,,,4/29/2021,RM,YO,1217,4,5,Y,Yes,No
,,,,,4/30/2021,RM,YO,1224,4,6,Y,Yes,No
,,,,,5/1/2021,RM,YO,720,5,7,Y,Yes,No
,,,,,5/2/2021,RM,YO,505,5,1,Y,Yes,No
,,,,,5/3/2021,RM,YO,1184,5,2,Y,Yes,No
